epoch,train_mse,val_mse,val_r2
1,1.3514120482184269,0.6098042130470276,0.5218450427055359
2,0.5648163623279996,0.5450999140739441,0.5725804567337036
3,0.5134187874694666,0.5004867315292358,0.607562243938446
4,0.4832279218567742,0.4739845395088196,0.6283429265022278
5,0.46339177850771834,0.4615541696548462,0.6380897164344788
6,0.45078217762487904,0.4532584846019745,0.6445944309234619
7,0.4413965890804927,0.4408106207847595,0.654354989528656
8,0.4353671657542388,0.4615241587162018,0.638113260269165
9,0.42321511413212176,0.43234652280807495,0.6609917879104614
10,0.4141414389014244,0.41876330971717834,0.671642541885376
11,0.4076394567059146,0.42180225253105164,0.6692596673965454
12,0.40449210201148633,0.41047701239585876,0.6781399250030518
13,0.39274247942699325,0.40450114011764526,0.6828256845474243
14,0.3865303089497266,0.39694830775260925,0.6887480020523071
15,0.3796455225458852,0.39603400230407715,0.6894649267196655
16,0.3801238248469653,0.43328002095222473,0.6602598428726196
17,0.3723086455353984,0.38395509123802185,0.6989361047744751
18,0.36205304841752406,0.3805050551891327,0.701641321182251
19,0.3588479971168218,0.37876269221305847,0.7030075788497925
20,0.3541956026520994,0.37342703342437744,0.7071912884712219
21,0.3489302044941319,0.3683059513568878,0.7112067937850952
22,0.34750929971536,0.37715691328048706,0.7042666673660278
23,0.3442985771430863,0.36548879742622375,0.7134157419204712
24,0.3393119327999927,0.36673107743263245,0.7124416828155518
25,0.33741503553809943,0.37189704179763794,0.7083909511566162
26,0.33612465030617183,0.3693355619907379,0.7103995084762573
27,0.33449380430910325,0.3682851195335388,0.7112231254577637
28,0.32859465452256026,0.3744986057281494,0.7063510417938232
29,0.3264727971895977,0.36021527647972107,0.7175507545471191
30,0.32314895162427865,0.3616076111793518,0.7164590358734131
31,0.3232652631898721,0.35804030299186707,0.7192562222480774
32,0.3192890803847048,0.36099621653556824,0.7169384956359863
33,0.31919493802167753,0.3615027964115143,0.7165412306785583
34,0.31800296240382725,0.36226117610931396,0.7159465551376343
35,0.3155814312674381,0.3589079678058624,0.7185758352279663
36,0.3143614235299605,0.3576609790325165,0.7195536494255066
37,0.3125330754728229,0.35774439573287964,0.719488263130188
38,0.30996470912187185,0.3575696051120758,0.7196252942085266
39,0.308485153372641,0.3529302179813385,0.7232630848884583
40,0.3074988977362712,0.35734981298446655,0.7197976112365723
41,0.30517001794996085,0.35226428508758545,0.7237852811813354
42,0.30558751385521005,0.35510486364364624,0.7215579152107239
43,0.3066411923479151,0.35663339495658875,0.7203593850135803
44,0.3114450689819124,0.3610774278640747,0.7168747782707214
45,0.30312196172221945,0.3606973886489868,0.7171727418899536
46,0.3026399616565969,0.3693786859512329,0.7103656530380249
47,0.3000056182758676,0.3583237826824188,0.71903395652771
48,0.2991812073936065,0.35556602478027344,0.7211962938308716
49,0.29728793249362045,0.3510199785232544,0.724760890007019
50,0.29610183910915144,0.351782888174057,0.7241626977920532
