epoch,train_mse,val_mse,val_r2
1,1.7171011717824567,1.3940693140029907,0.32606446743011475
2,1.3642211918950353,1.3425785303115845,0.35095667839050293
3,1.3184338427893394,1.305375099182129,0.3689419627189636
4,1.2692016593959174,1.243665337562561,0.39877432584762573
5,1.2048730651990156,1.1887903213500977,0.42530256509780884
6,1.1556991741977682,1.1626068353652954,0.4379604458808899
7,1.1238703764381062,1.1347544193267822,0.45142513513565063
8,1.1004688515750043,1.1103472709655762,0.46322429180145264
9,1.0815322158819993,1.1054679155349731,0.4655831456184387
10,1.063379831629082,1.0993655920028687,0.46853315830230713
11,1.0519769673738502,1.0894176959991455,0.4733423590660095
12,1.038317789113603,1.0882594585418701,0.47390222549438477
13,1.0310291908596534,1.0805867910385132,0.4776114225387573
14,1.0201959088614427,1.0690722465515137,0.48317790031433105
15,1.0127275620071654,1.0687756538391113,0.48332130908966064
16,1.00461065158214,1.062606692314148,0.48630356788635254
17,0.9970253005386214,1.0652523040771484,0.4850245714187622
18,0.9907790153607692,1.054444670677185,0.4902493357658386
19,0.9860906966183343,1.0580451488494873,0.48850876092910767
20,0.9791802545343282,1.0490636825561523,0.492850661277771
21,0.9748439764379098,1.045353889465332,0.4946441054344177
22,0.9693362059788715,1.0498319864273071,0.49247926473617554
23,0.9642884546640522,1.0474510192871094,0.4936302900314331
24,0.9585548483157755,1.0393205881118774,0.4975607991218567
25,0.9559066637773449,1.0459191799163818,0.49437081813812256
26,0.9511097866473274,1.0340267419815063,0.5001199841499329
27,0.9475742365341795,1.039383888244629,0.4975302219390869
28,0.9457058704252395,1.0422601699829102,0.4961397051811218
29,0.940889858574965,1.0383340120315552,0.4980376958847046
30,0.9359532266108485,1.0369653701782227,0.4986993670463562
31,0.9338074703966024,1.0326342582702637,0.5007930994033813
32,0.9300758998866505,1.0519275665283203,0.4914661645889282
33,0.9280582210197535,1.0279953479766846,0.5030357837677002
34,0.9241784561196329,1.035410761833191,0.4994508624076843
35,0.9212172399349257,1.0318412780761719,0.5011765360832214
36,0.9186882186587688,1.0299960374832153,0.5020685791969299
37,0.9157558154136554,1.0224322080612183,0.5057251453399658
38,0.9124398234221821,1.0250170230865479,0.5044755339622498
39,0.9101771613188376,1.0285835266113281,0.5027514100074768
40,0.9092841719983651,1.0255684852600098,0.5042089223861694
41,0.9044695829204655,1.0267281532287598,0.5036483407020569
42,0.9030914237396049,1.0304104089736938,0.5018682479858398
43,0.8987472650673504,1.0222738981246948,0.5058016777038574
44,0.8975477354401608,1.0178606510162354,0.5079351663589478
45,0.8949048362994791,1.0137910842895508,0.5099025368690491
46,0.8934780655254807,1.0219868421554565,0.5059404373168945
47,0.8909274126511229,1.0225415229797363,0.50567227602005
48,0.8871984579568571,1.0173226594924927,0.5081952810287476
49,0.8862854236893882,1.0196057558059692,0.5070915222167969
50,0.8828743001051536,1.011706829071045,0.5109100937843323
