epoch,kl_weight,train_loss,train_recon,train_kl,train_prop_mse,val_loss,val_recon,val_kl,val_prop_mse
1,6.284554914954278e-07,46.58565659343584,45.82986595040716,9180.670034665745,0.7500209880986398,27.469994295560397,24.81595324980907,9347.082947716346,2.6481668557876197
2,1.0465609588294101e-06,19.804706570224045,19.514369222973745,10355.777796955173,0.27949940313838906,16.51200874035175,15.832649519504645,10413.925646033655,0.6684603764460637
3,1.742827536238062e-06,12.859957920104911,12.473280837625571,76208.21181662896,0.25385930462227446,10.71772393935766,10.452548149304512,12499.132782451923,0.2433919885983834
4,2.902311985211097e-06,9.03633237048185,8.742380401019767,24046.117210327287,0.22416263272478207,9.245876300029266,8.280964743785368,13195.934640424679,0.9266128139618116
5,4.833185261644587e-06,80345.67590530243,6.574173175078841,16622349948.559324,0.202625789623304,8.745997441120636,8.403647055992714,14016.673387419873,0.27460522880920996
6,8.048634979569586e-06,5.565098936092895,5.236500415997739,17268.454818116625,0.18961103071066782,6.144094672569862,5.409790141765888,17534.716306089744,0.5931739963017977
7,1.3403249192620108e-05,6.359534238056283,4.316572169621423,139402.31055466968,0.17451810766279086,4.8997402215615296,4.4448372902014315,15723.437284655449,0.24415777898751773
8,2.2320113834259608e-05,4.151087105206236,3.649248448853618,15154.946660423497,0.1635785286177795,9.406532307160207,8.697421230413974,18456.960802283655,0.29714960173154487
9,3.716893710288947e-05,3.7936174406021186,3.1598377885677116,12824.365266110497,0.15711160412773983,5.061267383282001,3.622636255851159,34294.24724058493,0.16395032971333234
10,6.189557311889662e-05,3.6930692864660526,2.8161628102902814,11701.347268742873,0.15264485876246897,4.983653604067289,4.0870353796543215,9129.712560096154,0.33152942321239376
11,0.00010306990864856932,3.455131122840307,2.5305344108300987,7506.841264609464,0.15086728932512256,3.7695569392962334,2.8966815483875763,6555.86028145032,0.19716348525805352
12,0.00017162964243385188,3.3581943204764495,2.2983928354055605,5310.049893212835,0.14843953519787728,3.7759234929696106,2.7194315482408573,4789.235068609775,0.23451726444256613
13,0.0002857807008418792,3.3782344311645662,2.142287005992137,3817.221736338147,0.14505913400408751,3.9689537769708876,2.2470856134708113,3436.1644431089744,0.7398787015523666
14,0.00047581761883833595,3.46750257686715,2.008185525780529,2764.301981074508,0.14401345163532783,4.008946802677253,2.660526065948682,2368.856987429888,0.22127683491278918
15,0.000792124138395094,3.6231882967725992,1.9269249711776133,1961.571961562745,0.14245483178131393,4.126493977277707,2.2358405431111654,1822.4141983423478,0.4470751641652523
16,0.0013184225532339462,4.055238720764456,1.931635969381104,1500.3239057795352,0.14554195597495972,4.263302064553285,2.4442716451791617,1267.2668939052485,0.14823723626442445
17,0.002193633356708746,4.299293842527722,1.8521282038775655,1050.096310692747,0.14363922890245984,4.6976239265539705,2.4257656947160378,941.3558502979768,0.20686854040011382
18,0.003647714820774925,5.964476762910797,2.1392995787183398,1005.5664001256058,0.1571576614676207,5.2579981681628105,2.560540588085468,704.7060005383614,0.1268910431326964
19,0.0060598014915841155,5.868836404524209,2.150922063478994,586.8702603104177,0.1615969571736275,5.049736211238764,2.0099004653783945,471.91661220452727,0.18011465126123183
20,0.010050813883473756,6.417492834436989,2.2173558567377696,402.20799358024294,0.1576193725794316,6.429480860783504,2.891285118689904,337.1580173590244,0.14948334659521395
21,0.016626356107881622,7.004422358803222,2.210997125985549,278.5071614525337,0.16286597273470738,6.388675137055226,2.1745687668140117,241.61420280260919,0.19694254581744855
22,0.027384810950125675,7.219473476964501,2.0909171398716344,181.18647182381955,0.16679921042399232,7.0435066198691345,2.3006713995566734,168.4391394199469,0.13016136957284732
23,0.044787703049786735,8.392892702683348,2.3392987760333948,131.41017059969928,0.1680344736570983,8.302609162452894,2.5657323476595755,124.74778872758914,0.14971012163620728
24,0.07242648536151773,10.039486475110461,2.7241059859774945,98.4946121598595,0.18176211493181121,10.665816497802734,2.884901801133767,101.13869030292217,0.4557950498201908
25,0.1150667320455498,12.380330370116805,3.376293381508291,76.59310773025217,0.19071858120549093,12.763014715145795,3.7666839697422128,75.89472167186248,0.26337331441732553
26,0.17799368578624647,15.318086699178037,4.357726221073721,60.42510865406136,0.20507273439449622,15.165436783815041,5.038834050985483,55.8745112492488,0.18129254487844615
27,0.2650274005334812,18.707803888223054,5.788494809867311,47.912057822215516,0.22130079773449027,19.21922085101788,7.1187274272625265,44.94547637548202,0.1887104503237284
28,0.3751935255315707,22.173809427763743,7.776658039408372,37.74950684272305,0.23378041497895763,22.09514365563026,7.628130250099378,38.05215064806816,0.19009236723948747
29,0.5,25.085450871640493,10.275401819798939,29.168869206679723,0.22561446027649712,24.77298493018517,11.300003149570562,26.60929199610001,0.1683358038847263
30,0.6248064744684293,27.182625518285562,13.163626283169336,22.090208253675613,0.21689433013189885,27.009254005627753,13.777287957607172,20.731357760307116,0.27887968665514234
31,0.7349725994665188,28.272143253034987,16.234013605824625,16.087852435617652,0.2139989793801865,28.32625069251427,16.924737098889473,15.187342814910107,0.23923281522897574
32,0.8220063142137535,28.43889063331665,19.08937386966214,11.133315141823571,0.19786175331068964,27.796405577048276,20.23373627295861,9.035176717318022,0.135697203148634
33,0.8849332679544502,28.096576800504053,21.42981281954723,7.304948527565568,0.20237181602872084,28.01432257432204,22.65351023551745,5.924818298144218,0.11774329615709109
34,0.9275735146384823,27.387090396989848,22.944385575323857,4.5772879861779465,0.19693377724038427,26.98897286439553,23.731530262873722,3.384609375244532,0.1179685238080147
35,0.9552122969502131,26.782288731843607,23.43841137554382,3.293796582395973,0.19760237569191164,28.299499599750224,24.026570647802107,4.3074066504454,0.15844115255734859
36,0.9726151890498743,26.086706426831444,23.326217158762326,2.6325456884051404,0.20003539146674942,26.551397333389673,23.98821023794321,2.5075371778928317,0.12431836200830264
37,0.9833736438921183,25.21942101481839,23.13138358813191,1.943890680133141,0.17646655480259502,26.414738063323192,24.009995974027195,2.288735600006886,0.15405981139494823
38,0.9899491861165264,24.60571611376146,23.085329979012467,1.378556863883746,0.1556849068555314,25.033288476406,24.33999126140888,0.5644062577149807,0.13456372244235798
39,0.9939401985084158,23.720424871760056,23.256861425723834,0.3776717204069602,0.08818035929367167,24.265264736077725,23.898587525196564,0.28774843705006137,0.08067247645977216
40,0.996352285179225,22.971921146527663,22.672666470300378,0.2355065311612126,0.06460719909773822,24.03677516839443,23.790746004153522,0.21062460778615413,0.036172763315530924
41,0.9978063666432913,22.625472267785938,22.356120552141284,0.2110496005266395,0.05876509375878723,24.0005306439522,23.755382087903143,0.2001900166273117,0.04539759107507192
42,0.9986815774467661,22.365581297140437,22.110100357943004,0.19932280579409822,0.056420917775664596,23.870587451641377,23.597175744863655,0.21921722942437882,0.05448350086808205
43,0.9992078758616048,22.190218457882054,21.93399064054239,0.20130597329363992,0.055081327805803194,23.887531544612003,23.67210616087302,0.19152291531746204,0.024054119253578858
44,0.9995241823811616,22.004299096397826,21.757014436623933,0.19551057670108268,0.05186710011919147,24.008904872796474,23.69438608609713,0.2109477853927857,0.10367129357197345
45,0.999714219299158,21.80321816408512,21.561460943015433,0.18879741308796502,0.053013776044574745,23.836129790086012,23.61051849952111,0.1720567389176442,0.053603801398705214
46,0.9998283703575662,21.649943612728315,21.41476546997627,0.18602373184234822,0.04918635325844027,23.852461761083358,23.6403133783585,0.17780987773186122,0.03436898135412962
47,0.9998969300913515,21.54167184862335,21.31226693591615,0.1803198119916421,0.04910368312621742,23.946373944404797,23.732520705003004,0.1799610218176475,0.033910671430520525
48,0.9999381044268812,21.43394786982607,21.205853188187394,0.18210354979185042,0.04600242178190495,24.02839000408466,23.828086510682716,0.16268864686672505,0.03762490248832947
49,0.9999628310628971,21.20982192179768,20.978314141998812,0.18456226169315412,0.04695240655614481,24.009109643789436,23.79072322356395,0.1667799832729193,0.0516126481959453
50,0.9999776798861657,21.1379336103746,20.912405497943524,0.1811946421530323,0.04433749979330034,23.87831796499399,23.66739237858699,0.1687206547229718,0.04220880512625743
51,0.9999865967508074,20.96575440675394,20.740567070320502,0.18137717562193473,0.04381261613355905,24.04147821084047,23.816454608623797,0.17347577596322084,0.05155007052115905
52,0.9999919513650204,20.777892353053513,20.54896643822386,0.18556536609219854,0.04336206243716461,24.041075065808418,23.805047225952148,0.17727942497302324,0.05874981643297733
53,0.9999951668147382,20.65203241720167,20.428045254340873,0.1815020051214551,0.04248601685946079,24.056304559952174,23.814197598970853,0.17161616201584157,0.0704915824991006
54,0.9999970976880148,20.52805211688121,20.301248462333376,0.18528142314034693,0.04152277433456791,24.1460759187356,23.91792465601212,0.1913280351803853,0.03682377643119066
55,0.9999982571724638,20.37117036473656,20.14959117624072,0.1811858390966598,0.040393655851033085,24.290563143216648,24.071073522323218,0.19029497527159178,0.029195005188767727
56,0.9999989534390412,20.2201514804105,20.00335332333294,0.17772847663785332,0.03906982984104987,24.2302247267503,24.019790639632788,0.18094205199143826,0.029492318315001636
57,0.9999993715445085,20.07215564036179,19.854793575769683,0.17752263259180867,0.03983954725704212,24.194091845781376,23.97871000827887,0.17929331232339907,0.03608865440847018
58,0.9999996226151612,19.983935618210275,19.76630895086134,0.179873851101374,0.037752885221181906,24.346980559520233,24.12598630464994,0.16035651174875407,0.06063778641132208
59,0.9999997733820386,19.815074996774253,19.599521245488827,0.17794103121030289,0.037612750484876785,24.42810204334748,24.191564569717798,0.18120424464727058,0.055333234579899374
60,0.9999998639169038,19.643298857024487,19.430586390783468,0.17551757687088973,0.03719491109638522,24.54672352717473,24.324052908481697,0.1610279219272809,0.06164272813460766
61,0.999999918282698,19.55211086882153,19.342454217586713,0.1739821541489462,0.035674510751994265,24.655341270642403,24.441089884440103,0.14818849655298086,0.06606297915180524
