epoch,kl_weight,train_loss,train_recon,train_kl,train_prop_mse,val_loss,val_recon,val_kl,val_prop_mse
1,6.284554914954278e-07,48.37358680581557,47.7883767494454,34676.47041656055,0.5634174166648662,29.795740029750725,28.624991333790316,5142.638221153846,1.1675168248323293
2,1.0465609588294101e-06,22.227753651726612,21.8639313568411,5231.778402435059,0.35834691456031637,18.310922202085838,17.61482803149101,5210.5811924078525,0.6906410101132515
3,1.742827536238062e-06,13.26280380029363,12.918363534738155,5649.644717487261,0.3345939176265435,10.95758392138359,10.630052561637683,5433.547819010417,0.3180616391774936
4,2.902311985211097e-06,8.370083599297187,8.046800715893404,6510.308877977569,0.30438792908579076,7.5328963181911375,7.275505892435709,5763.731768329327,0.24066226734564855
5,4.833185261644587e-06,5.718539542319973,5.413623755850841,5967.315867024925,0.27607464368965906,5.9911225710159695,5.534591168623704,6082.144826722756,0.42713529360600005
6,8.048634979569586e-06,2594.4386580267683,4.0705370811943045,321807549.46050406,0.2567603392367216,5.176574271764511,4.498791869481405,6101.395938501602,0.6286745001108218
7,1.3403249192620108e-05,3.567794582998739,3.2365696108055766,6844.761737123183,0.23948292648302924,4.1265007019042965,3.6752319030272655,6446.170287459936,0.3648691756603045
8,2.2320113834259608e-05,3.3247569155801795,2.7275798436989125,16544.751526366075,0.2278963487463639,4.10738624059237,3.0620259419465676,6461.033423477564,0.9011493013455317
9,3.716893710288947e-05,14.860815515471973,2.3427932091830392,330951.7685407684,0.21689608902112925,4.30176897415748,3.385445010356414,5698.337612680289,0.7045227992228973
10,6.189557311889662e-05,212807.06250381423,2.0580343908567658,3438126060.1235957,0.2104117192260012,2.973987469306359,2.4829875401961496,5030.055218349359,0.17966176072756448
11,0.00010306990864856932,2.565932812685298,1.8783319192166474,4654.305894005665,0.2078820180823281,3.3601022145687005,2.7104499884140796,4269.508646334135,0.2095943590769401
12,0.00017162964243385188,2.566122060015101,1.6986438471275969,3882.5351903517408,0.20112010183294932,3.562790130957579,2.8181771950844006,3318.3307717347757,0.17508903199281448
13,0.0002857807008418792,2.564676064857735,1.5664449216906267,2807.7326813266104,0.19583534023288038,3.846870115475777,2.419358306664687,2638.299315154247,0.6735367805529864
14,0.00047581761883833595,2.7172668151463997,1.4764052780351453,2205.2068129988597,0.19158527648826146,3.267869624113425,1.8197963384481577,1984.4950251652645,0.5038155729954059
15,0.000792124138395094,2.8778970119210987,1.4074811367243698,1611.5972914309702,0.1938307632096409,3.3287912539946727,1.815562673104115,1521.354537885617,0.3081269310070918
16,0.0013184225532339462,3.165373978212459,1.3803157341860854,1207.9890390045966,0.19241832158907382,4.0873524641379335,1.9355434050926796,1152.2560553135015,0.6326487720012665
17,0.002193633356708746,3.520538816294349,1.3608269732925475,896.5255137044456,0.1930634718783361,4.076328881581625,1.8833320214198186,816.4981307592147,0.40189921382146004
18,0.003647714820774925,3.9516832703467513,1.359007556700788,658.1551436073016,0.19191342007746853,5.27481295023209,2.5163992025913338,592.0339311648638,0.5988428005805382
19,0.0060598014915841155,4.558484562310553,1.4238537022909796,484.2730728027622,0.20003207839660117,5.098184668712127,2.0180848971391336,451.19268892728365,0.3459615480441314
20,0.010050813883473756,5.405709025253592,1.5776575213487227,361.10176323050104,0.19868496550988307,5.067654573000395,1.734380774008922,314.831745323768,0.16895860731601714
21,0.016626356107881622,4.692407785826697,1.332851620737204,190.36783496765347,0.19443273664523286,3.4374816906757846,1.2393032028124882,121.9412358601888,0.17074006654513188
22,0.027384810950125675,4.2514618255937116,1.1191457036963346,108.06195991368223,0.17305986481711286,4.4822719769600115,1.5958841354419024,100.1162332779322,0.144723808268706
23,0.044787703049786735,5.744738250936859,1.4425192321040068,92.43878512670676,0.1620983246165915,6.048775653350048,1.6457020447804378,95.09552068465796,0.14396383231266952
24,0.07242648536151773,7.804893537965033,1.9127643003023336,79.13717702258816,0.16050182792656506,8.163258012135824,2.2450848787258835,78.79513408954327,0.21131864167176762
25,0.1150667320455498,10.527760430100027,2.6532957630663123,67.05639515118833,0.15850456460817647,10.820992846366687,3.237294913560916,64.38940901144957,0.17461921679667938
26,0.17799368578624647,13.904393973616944,3.765576144852415,56.05235432327949,0.16185272518150348,14.052253679128794,4.380782510072757,53.500455768291765,0.14872791388860115
27,0.2650274005334812,17.69211743114476,5.3825450799892,45.847248914712104,0.15879502009383764,17.894073055952024,5.927163784320538,44.36415403317182,0.20919274336252458
28,0.3751935255315707,21.49547188583774,7.677075287363277,36.39941146354719,0.16157265809898774,21.61727902339055,8.692057012900328,34.026341697497244,0.15875855455031762
29,0.5,24.696798017930277,10.589882039425719,27.892143996574724,0.16084396541798265,24.60358324295435,10.749356264945789,27.443981659718048,0.13223612824311623
30,0.6248064744684293,26.829093809138683,13.922466259046182,20.399508479519607,0.1608827779050428,26.879363270294974,14.6072812300462,19.430275853474935,0.13192012111345927
31,0.7349725994665188,27.901648530122763,17.42827453906887,14.035758245766095,0.15747627640140913,28.009235577705578,18.281391779581707,13.027744635557516,0.15280841413216714
32,0.8220063142137535,28.069069404558554,20.63836520944245,8.849154535150038,0.15664351926511208,28.213202608548677,22.06787483997834,7.33234737102802,0.11809217895452793
33,0.8849332679544502,27.749127236848004,23.06534513453937,5.1208841015023,0.15214124635847429,28.16364478086814,24.011617953960712,4.554204172965807,0.12185995509991279
34,0.9275735146384823,27.167270723471212,24.44408625099243,2.7804941000117407,0.14407180505831266,27.707571577414488,25.55790561773838,2.1688915313818518,0.13785964873356696
35,0.9552122969502131,26.582681053448702,24.94243794618474,1.5762387583437911,0.1346004598496849,27.018010652982273,25.545639047867212,1.3393818500714425,0.19297761275218084
36,0.9726151890498743,26.00097716819737,24.842296591642373,1.0588634307395366,0.12881392544239523,26.70583905929174,25.693153488941682,0.8982009649276733,0.13908164829779893
37,0.9833736438921183,25.540042398728964,24.64292048864245,0.7910797434562696,0.11919493055100656,26.354905436589167,25.583942540486653,0.6981595742396819,0.08441105108612623
